SERIES,NMFS_POPID,Region,ESU,MAJOR_POPULATION_GROUP,POPULATION_NAME,COMMON_POPULATION_NAME,DISPLAY_ORDER,SPECIES,RUN_TIMING,STREAM_NAME,YEAR,NUMBER_OF_SPAWNERS,FRACWILD,AGE_1_RETURNS,AGE_2_RETURNS,AGE_3_RETURNS,AGE_4_RETURNS,AGE_5_RETURNS,AGE_6_RETURNS,AGE_7_RETURNS,METHOD
LCchinook2020,1,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Coast fall,Big Creek,Big Ck.,1.1.3,CHINOOK SALMON,FALL,Big Creek tributaries,2012,1096.0,0.05,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,Survey
LCchinook2020,1,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Coast fall,Big Creek,Big Ck.,1.1.3,CHINOOK SALMON,FALL,Big Creek tributaries,2013,946.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,Survey
LCchinook2020,1,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Coast fall,Big Creek,Big Ck.,1.1.3,CHINOOK SALMON,FALL,Big Creek tributaries,2014,2583.0,0.016,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,Survey
LCchinook2020,1,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Coast fall,Big Creek,Big Ck.,1.1.3,CHINOOK SALMON,FALL,Big Creek tributaries,2017,1279.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,Survey
LCchinook2020,1,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Coast fall,Big Creek,Big Ck.,1.1.3,CHINOOK SALMON,FALL,Big Creek tributaries,2016,582.0,0.077,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,Survey
LCchinook2020,1,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Coast fall,Big Creek,Big Ck.,1.1.3,CHINOOK SALMON,FALL,Big Creek tributaries,2018,12301.0,0.009,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,Survey
LCchinook2020,1,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Coast fall,Big Creek,Big Ck.,1.1.3,CHINOOK SALMON,FALL,Big Creek tributaries,2015,2586.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,Survey
LCchinook2020,31,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Gorge fall,Big White Salmon River Fall (Tule) Chinook,Big White Salmon R.,3.1.3,CHINOOK SALMON,FALL,White Salmon River,2002,1787.0,-99.0,-99.0,-99.0,0.743,0.25,0.007,-99.0,-99.0,Survey
LCchinook2020,31,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Gorge fall,Big White Salmon River Fall (Tule) Chinook,Big White Salmon R.,3.1.3,CHINOOK SALMON,FALL,White Salmon River,2003,11480.0,-99.0,-99.0,-99.0,0.162,0.792,0.046,-99.0,-99.0,Survey
LCchinook2020,31,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Gorge fall,Big White Salmon River Fall (Tule) Chinook,Big White Salmon R.,3.1.3,CHINOOK SALMON,FALL,White Salmon River,2004,8691.0,-99.0,-99.0,-99.0,0.537,0.454,0.009,-99.0,-99.0,Survey
LCchinook2020,31,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Gorge fall,Big White Salmon River Fall (Tule) Chinook,Big White Salmon R.,3.1.3,CHINOOK SALMON,FALL,White Salmon River,2005,1448.0,-99.0,-99.0,-99.0,0.39,0.569,0.041,-99.0,-99.0,Survey
LCchinook2020,31,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Gorge fall,Big White Salmon River Fall (Tule) Chinook,Big White Salmon R.,3.1.3,CHINOOK SALMON,FALL,White Salmon River,2006,755.0,-99.0,-99.0,-99.0,0.583,0.303,0.106,0.008,-99.0,Survey
LCchinook2020,31,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Gorge fall,Big White Salmon River Fall (Tule) Chinook,Big White Salmon R.,3.1.3,CHINOOK SALMON,FALL,White Salmon River,2007,898.0,-99.0,-99.0,-99.0,0.571,0.429,-99.0,-99.0,-99.0,Survey
LCchinook2020,31,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Gorge fall,Big White Salmon River Fall (Tule) Chinook,Big White Salmon R.,3.1.3,CHINOOK SALMON,FALL,White Salmon River,2008,770.0,-99.0,-99.0,-99.0,0.636,0.357,0.006,-99.0,-99.0,Survey
LCchinook2020,31,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Gorge fall,Big White Salmon River Fall (Tule) Chinook,Big White Salmon R.,3.1.3,CHINOOK SALMON,FALL,White Salmon River,2009,964.0,-99.0,-99.0,-99.0,0.391,0.594,0.015,-99.0,-99.0,Survey
LCchinook2020,31,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Gorge fall,Big White Salmon River Fall (Tule) Chinook,Big White Salmon R.,3.1.3,CHINOOK SALMON,FALL,White Salmon River,2010,1887.0,0.725,-99.0,-99.0,0.938,0.06,0.001,-99.0,-99.0,Survey
LCchinook2020,31,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Gorge fall,Big White Salmon River Fall (Tule) Chinook,Big White Salmon R.,3.1.3,CHINOOK SALMON,FALL,White Salmon River,2011,723.0,0.885,-99.0,-99.0,0.292,0.706,0.002,-99.0,-99.0,Survey
LCchinook2020,31,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Gorge fall,Big White Salmon River Fall (Tule) Chinook,Big White Salmon R.,3.1.3,CHINOOK SALMON,FALL,White Salmon River,2012,593.0,0.936,-99.0,-99.0,0.26,0.713,0.027,-99.0,-99.0,Survey
LCchinook2020,31,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Gorge fall,Big White Salmon River Fall (Tule) Chinook,Big White Salmon R.,3.1.3,CHINOOK SALMON,FALL,White Salmon River,2013,984.0,0.658,-99.0,-99.0,0.467,0.49,0.044,-99.0,-99.0,Survey
LCchinook2020,31,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Gorge fall,Big White Salmon River Fall (Tule) Chinook,Big White Salmon R.,3.1.3,CHINOOK SALMON,FALL,White Salmon River,2014,1034.0,0.775,-99.0,-99.0,0.239,0.729,0.032,-99.0,-99.0,Survey
LCchinook2020,31,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Gorge fall,Big White Salmon River Fall (Tule) Chinook,Big White Salmon R.,3.1.3,CHINOOK SALMON,FALL,White Salmon River,2015,773.0,0.485,-99.0,-99.0,0.514,0.439,0.048,-99.0,-99.0,Survey
LCchinook2020,31,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Gorge fall,Big White Salmon River Fall (Tule) Chinook,Big White Salmon R.,3.1.3,CHINOOK SALMON,FALL,White Salmon River,2016,565.0,0.68,-99.0,-99.0,0.183,0.746,0.072,-99.0,-99.0,Survey
LCchinook2020,31,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Gorge fall,Big White Salmon River Fall (Tule) Chinook,Big White Salmon R.,3.1.3,CHINOOK SALMON,FALL,White Salmon River,2017,747.0,0.538,-99.0,-99.0,0.909,0.076,0.015,-99.0,-99.0,Survey
LCchinook2020,31,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Gorge fall,Big White Salmon River Fall (Tule) Chinook,Big White Salmon R.,3.1.3,CHINOOK SALMON,FALL,White Salmon River,2018,194.0,0.568,-99.0,-99.0,0.354,0.638,0.008,-99.0,-99.0,Survey
LCchinook2020,31,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Gorge fall,Big White Salmon River Fall (Tule) Chinook,Big White Salmon R.,3.1.3,CHINOOK SALMON,FALL,White Salmon River,1965,914.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,Survey
LCchinook2020,31,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Gorge fall,Big White Salmon River Fall (Tule) Chinook,Big White Salmon R.,3.1.3,CHINOOK SALMON,FALL,White Salmon River,1966,2865.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,Survey
LCchinook2020,31,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Gorge fall,Big White Salmon River Fall (Tule) Chinook,Big White Salmon R.,3.1.3,CHINOOK SALMON,FALL,White Salmon River,1967,1212.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,Survey
LCchinook2020,31,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Gorge fall,Big White Salmon River Fall (Tule) Chinook,Big White Salmon R.,3.1.3,CHINOOK SALMON,FALL,White Salmon River,1968,575.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,Survey
LCchinook2020,31,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Gorge fall,Big White Salmon River Fall (Tule) Chinook,Big White Salmon R.,3.1.3,CHINOOK SALMON,FALL,White Salmon River,1969,2767.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,Survey
