REGION,SITE NAME,SITE_NUMBER,DAILY_MEAN_WATER_TEMP,DATE,YEAR,RUN_TIMING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,5.8,2013-01-01,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,5.4,2013-01-02,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,4.9,2013-01-03,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,4.7,2013-01-04,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,4.5,2013-01-05,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,4.5,2013-01-06,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,5.1,2013-01-07,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,5.7,2013-01-08,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,6.3,2013-01-09,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,6.7,2013-01-10,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,6.6,2013-01-11,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,6.0,2013-01-12,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,5.2,2013-01-13,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,4.6,2013-01-14,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,4.2,2013-01-15,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,4.0,2013-01-16,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,3.9,2013-01-17,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,4.0,2013-01-18,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,4.1,2013-01-19,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,4.0,2013-01-20,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,3.9,2013-01-21,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,3.7,2013-01-22,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,3.6,2013-01-23,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,3.6,2013-01-24,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,3.8,2013-01-25,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,4.1,2013-01-26,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,4.7,2013-01-27,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,5.4,2013-01-28,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,5.7,2013-01-29,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,5.8,2013-01-30,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,6.1,2013-01-31,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,6.6,2013-02-01,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,6.9,2013-02-02,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,6.8,2013-02-03,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,6.6,2013-02-04,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,6.7,2013-02-05,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,6.8,2013-02-06,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,7.0,2013-02-07,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,7.1,2013-02-08,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,6.9,2013-02-09,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,6.7,2013-02-10,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,6.6,2013-02-11,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,6.6,2013-02-12,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,6.8,2013-02-13,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,7.2,2013-02-14,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,7.6,2013-02-15,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,7.9,2013-02-16,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,7.9,2013-02-17,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,7.9,2013-02-18,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,7.7,2013-02-19,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,7.4,2013-02-20,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,7.0,2013-02-21,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,6.9,2013-02-22,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,6.8,2013-02-23,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,6.7,2013-02-24,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,6.7,2013-02-25,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,6.7,2013-02-26,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,6.8,2013-02-27,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,7.1,2013-02-28,2013,WINTER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,7.5,2013-03-01,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,7.7,2013-03-02,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,8.0,2013-03-03,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,8.2,2013-03-04,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,8.1,2013-03-05,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,7.8,2013-03-06,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,7.5,2013-03-07,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,7.4,2013-03-08,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,7.4,2013-03-09,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,7.6,2013-03-10,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,7.8,2013-03-11,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,8.2,2013-03-12,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,8.4,2013-03-13,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,8.6,2013-03-14,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,9.3,2013-03-15,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,9.9,2013-03-16,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,9.9,2013-03-17,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,9.8,2013-03-18,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,9.6,2013-03-19,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,9.3,2013-03-20,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,8.7,2013-03-21,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,8.3,2013-03-22,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,8.3,2013-03-23,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,8.0,2013-03-24,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,7.8,2013-03-25,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,7.9,2013-03-26,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,8.2,2013-03-27,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,8.6,2013-03-28,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,9.4,2013-03-29,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,10.2,2013-03-30,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,11.0,2013-03-31,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,11.7,2013-04-01,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,12.2,2013-04-02,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,12.4,2013-04-03,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,12.7,2013-04-04,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,12.5,2013-04-05,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,11.6,2013-04-06,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,10.8,2013-04-07,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,10.1,2013-04-08,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,9.6,2013-04-09,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,9.3,2013-04-10,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,9.3,2013-04-11,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,9.6,2013-04-12,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,9.7,2013-04-13,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,9.5,2013-04-14,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,9.5,2013-04-15,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,9.8,2013-04-16,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,10.0,2013-04-17,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,10.1,2013-04-18,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,10.5,2013-04-19,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,10.7,2013-04-20,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,10.8,2013-04-21,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,11.1,2013-04-22,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,11.3,2013-04-23,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,11.3,2013-04-24,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,11.9,2013-04-25,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,12.4,2013-04-26,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,13.0,2013-04-27,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,13.5,2013-04-28,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,13.8,2013-04-29,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,13.9,2013-04-30,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,13.8,2013-05-01,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,13.8,2013-05-02,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,13.8,2013-05-03,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,13.8,2013-05-04,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,14.1,2013-05-05,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,14.9,2013-05-06,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,15.6,2013-05-07,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,16.0,2013-05-08,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,16.4,2013-05-09,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,16.6,2013-05-10,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,17.0,2013-05-11,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,16.9,2013-05-12,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,17.0,2013-05-13,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,17.1,2013-05-14,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,17.2,2013-05-15,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,17.1,2013-05-16,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,16.6,2013-05-17,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,16.1,2013-05-18,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,15.6,2013-05-19,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,15.4,2013-05-20,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,15.0,2013-05-21,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,14.6,2013-05-22,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,14.1,2013-05-23,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,13.9,2013-05-24,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,13.4,2013-05-25,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,13.2,2013-05-26,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,13.1,2013-05-27,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,13.4,2013-05-28,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,13.8,2013-05-29,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,14.2,2013-05-30,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,14.1,2013-05-31,2013,SPRING
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,14.3,2013-06-01,2013,SUMMER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,14.3,2013-06-02,2013,SUMMER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,14.5,2013-06-03,2013,SUMMER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,15.3,2013-06-04,2013,SUMMER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,16.2,2013-06-05,2013,SUMMER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,17.2,2013-06-06,2013,SUMMER
Willamette/Lower Columbia,"Willamette River at Portland, OR",14211720,18.0,2013-06-07,2013,SUMMER
