ID,Region,WKT,Species,Latitude,Longitude,Population,Year
1,Interior Columbia,"POLYGON((-122.7852082 43.87607401, -121.9282746 47.94022597, -114.3696808 46.53803997, -112.6997589 44.36505299, -117.9951691 44.83440442, -122.7852082 43.87607401))",CHINOOK SALMON,45.0947,-120.0042,427456,2013
2,Interior Columbia,"POLYGON((-122.7852082 43.87607401, -121.9282746 47.94022597, -114.3696808 46.53803997, -112.6997589 44.36505299, -117.9951691 44.83440442, -122.7852082 43.87607401))",CHINOOK SALMON,45.0947,-120.0042,84216,2014
3,Interior Columbia,"POLYGON((-122.7852082 43.87607401, -121.9282746 47.94022597, -114.3696808 46.53803997, -112.6997589 44.36505299, -117.9951691 44.83440442, -122.7852082 43.87607401))",CHINOOK SALMON,45.0947,-120.0042,89575,2015
4,Interior Columbia,"POLYGON((-122.7852082 43.87607401, -121.9282746 47.94022597, -114.3696808 46.53803997, -112.6997589 44.36505299, -117.9951691 44.83440442, -122.7852082 43.87607401))",CHINOOK SALMON,45.0947,-120.0042,89605,2016
5,Interior Columbia,"POLYGON((-122.7852082 43.87607401, -121.9282746 47.94022597, -114.3696808 46.53803997, -112.6997589 44.36505299, -117.9951691 44.83440442, -122.7852082 43.87607401))",CHINOOK SALMON,45.0947,-120.0042,87693,2017
6,Interior Columbia,"POLYGON((-122.7852082 43.87607401, -121.9282746 47.94022597, -114.3696808 46.53803997, -112.6997589 44.36505299, -117.9951691 44.83440442, -122.7852082 43.87607401))",CHINOOK SALMON,45.0947,-120.0042,87907,2018
7,Interior Columbia,"POLYGON((-122.7852082 43.87607401, -121.9282746 47.94022597, -114.3696808 46.53803997, -112.6997589 44.36505299, -117.9951691 44.83440442, -122.7852082 43.87607401))",CHINOOK SALMON,45.0947,-120.0042,77695,2019
8,Interior Columbia,"POLYGON((-122.7852082 43.87607401, -121.9282746 47.94022597, -114.3696808 46.53803997, -112.6997589 44.36505299, -117.9951691 44.83440442, -122.7852082 43.87607401))",STEELHEAD,45.538056,-118.878333,195463,2013
9,Interior Columbia,"POLYGON((-122.7852082 43.87607401, -121.9282746 47.94022597, -114.3696808 46.53803997, -112.6997589 44.36505299, -117.9951691 44.83440442, -122.7852082 43.87607401))",STEELHEAD,45.538056,-118.878333,200531,2014
10,Interior Columbia,"POLYGON((-122.7852082 43.87607401, -121.9282746 47.94022597, -114.3696808 46.53803997, -112.6997589 44.36505299, -117.9951691 44.83440442, -122.7852082 43.87607401))",STEELHEAD,45.538056,-118.878333,201896,2015
11,Interior Columbia,"POLYGON((-122.7852082 43.87607401, -121.9282746 47.94022597, -114.3696808 46.53803997, -112.6997589 44.36505299, -117.9951691 44.83440442, -122.7852082 43.87607401))",STEELHEAD,45.538056,-118.878333,202793,2016
12,Interior Columbia,"POLYGON((-122.7852082 43.87607401, -121.9282746 47.94022597, -114.3696808 46.53803997, -112.6997589 44.36505299, -117.9951691 44.83440442, -122.7852082 43.87607401))",STEELHEAD,45.538056,-118.878333,192455,2017
13,Interior Columbia,"POLYGON((-122.7852082 43.87607401, -121.9282746 47.94022597, -114.3696808 46.53803997, -112.6997589 44.36505299, -117.9951691 44.83440442, -122.7852082 43.87607401))",STEELHEAD,45.538056,-118.878333,192914,2018
14,Interior Columbia,"POLYGON((-122.7852082 43.87607401, -121.9282746 47.94022597, -114.3696808 46.53803997, -112.6997589 44.36505299, -117.9951691 44.83440442, -122.7852082 43.87607401))",STEELHEAD,45.538056,-118.878333,195957,2019
15,Willamette/Lower Columbia,"POLYGON((-122.2578644 46.25108239, -123.9277863 46.29664568, -123.752005 46.00743829, -123.6641144 44.97546832, -123.7300324 43.92458738, -123.1367707 43.30417708, -122.8291535 43.90875939, -122.2578644 46.25108239))",CHINOOK SALMON,44.810833,-122.538333,427705,2013
16,Willamette/Lower Columbia,"POLYGON((-122.2578644 46.25108239, -123.9277863 46.29664568, -123.752005 46.00743829, -123.6641144 44.97546832, -123.7300324 43.92458738, -123.1367707 43.30417708, -122.8291535 43.90875939, -122.2578644 46.25108239))",CHINOOK SALMON,44.810833,-122.538333,426979,2014
17,Willamette/Lower Columbia,"POLYGON((-122.2578644 46.25108239, -123.9277863 46.29664568, -123.752005 46.00743829, -123.6641144 44.97546832, -123.7300324 43.92458738, -123.1367707 43.30417708, -122.8291535 43.90875939, -122.2578644 46.25108239))",CHINOOK SALMON,44.810833,-122.538333,414137,2015
18,Willamette/Lower Columbia,"POLYGON((-122.2578644 46.25108239, -123.9277863 46.29664568, -123.752005 46.00743829, -123.6641144 44.97546832, -123.7300324 43.92458738, -123.1367707 43.30417708, -122.8291535 43.90875939, -122.2578644 46.25108239))",CHINOOK SALMON,44.810833,-122.538333,425532,2016
